Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-03-31,1,7189,7189,3647,2387,1.52,0.01841620626151013,0.01841620626151013,-0.07880777974235918,0.04555409548839247,-0.07317073170731701,2022
2021-12-31,4,7059,7059,3959,2283,1.64,0.07623113279463332,0.07623113279463332,0.10463169642857142,0.017379679144385027,0.11564625850340131,2021
2021-09-30,3,6559,6559,3584,2244,1.47,0.0699836867862969,0.0699836867862969,0.39184466019417474,0.08615682478218781,0.3867924528301886,2021
2021-06-30,2,6130,6130,2575,2066,1.06,0.06999476348402862,0.06999476348402862,-0.14904163912756113,-0.038175046554934824,-0.1451612903225806,2021
2021-03-31,1,5729,5729,3026,2148,1.24,0.0073852646386495515,0.0073852646386495515,-0.03198976327575176,0.16549104720564298,-0.02362204724409451,2021
2020-12-31,4,5687,5687,3126,1843,1.27,0.11487943540482258,0.11487943540482258,0.4627983153954141,-0.059213884635017866,0.4597701149425288,2020
2020-09-30,3,5101,5101,2137,1959,0.87,0.05457928468058714,0.05457928468058714,-0.09945217024863043,0.06583242655059848,-0.09374999999999997,2020
2020-06-30,2,4837,4837,2373,1838,0.96,-0.17372736590365562,-0.17372736590365562,-0.23054474708171208,-0.04766839378238342,-0.22580645161290325,2020
2020-03-31,1,5854,5854,3084,1930,1.24,-0.03303600925008259,-0.03303600925008259,-0.05745721271393643,-0.05299313052011776,-0.05343511450381684,2020
2019-12-31,4,6054,6054,3272,2038,1.31,-0.013524523382760306,-0.013524523382760306,0.08165289256198346,-0.15154038301415487,0.08264462809917363,2019
2019-09-30,3,6137,6137,3025,2402,1.21,0.05085616438356164,0.05085616438356164,-0.024508223153821347,0.2432712215320911,-0.016260162601626032,2019
2019-06-30,2,5840,5840,3101,1932,1.23,0.06297779395704405,0.06297779395704405,0.04165267047363117,0.04263356718834323,0.05128205128205133,2019
2019-03-31,1,5494,5494,2977,1853,1.17,-0.002179440610243371,-0.002179440610243371,0.0,0.03577417551704863,0.0,2019
2018-12-31,4,5506,5506,2977,1789,1.17,0.013249907986750091,0.013249907986750091,0.046397188049209136,-0.1178500986193294,0.0540540540540539,2018
2018-09-30,3,5434,5434,2845,2028,1.11,0.037022900763358776,0.037022900763358776,0.2215543151567196,-0.13885350318471337,0.23333333333333342,2018
2018-06-30,2,5240,5240,2329,2355,0.9,0.03291937709442145,0.03291937709442145,-0.10595009596928982,0.35578583765112265,-0.09999999999999998,2018
2018-03-31,1,5073,5073,2605,1737,1.0,0.04339777869189634,0.04339777869189634,0.032910388580491674,0.13159609120521173,0.03092783505154642,2018
2017-12-31,4,4862,4862,2522,1535,0.97,0.0014418125643666324,0.0014418125643666324,0.17850467289719626,-0.06573341448569689,0.19753086419753074,2017
2017-09-30,3,4855,4855,2140,1643,0.81,0.06352683461117196,0.06352683461117196,0.03933948518698397,0.06619078520441272,0.03846153846153849,2017
2017-06-30,2,4565,4565,2059,1541,0.78,0.019656019656019656,0.019656019656019656,3.7883720930232556,-0.07669263031755542,3.875,2017
2017-03-31,1,4477,4477,430,1669,0.16,0.003586639766868415,0.003586639766868415,-0.7922705314009661,0.22630418809698752,-0.7922077922077921,2017
2016-12-31,4,4461,4461,2070,1361,0.77,0.04693733865289838,0.04693733865289838,0.07198342827550493,-0.16809290953545233,0.0694444444444445,2016
2016-09-30,3,4261,4261,1931,1636,0.72,0.17382920110192837,0.17382920110192837,3.686893203883495,-0.48906933166770766,3.4999999999999996,2016
2016-06-30,2,3630,3630,412,3202,0.16,0.0011031439602868175,0.0011031439602868175,-0.7586408904510837,1.686241610738255,-0.75,2016
2016-03-31,1,3626,3626,1707,1192,0.64,0.017110799438990184,0.017110799438990184,-0.1205564142194745,0.019674935842600515,-0.11111111111111106,2016
2015-12-31,4,3565,3565,1941,1169,0.72,-0.0016802016241949033,-0.0016802016241949033,0.2837301587301587,-0.09239130434782608,0.3090909090909089,2015
2015-09-30,3,3571,3571,1512,1288,0.55,0.015065378055713473,0.015065378055713473,-0.10901591043017089,0.025477707006369428,-0.12698412698412692,2015
2015-06-30,2,3518,3518,1697,1256,0.63,0.031974185978292755,0.031974185978292755,0.09483870967741935,0.11347517730496454,0.10526315789473695,2015
2015-03-31,1,3409,3409,1550,1128,0.57,0.007983441750443524,0.007983441750443524,-0.012109623964308477,-0.013986013986013986,0.0,2015
2014-12-31,4,3382,3382,1569,1144,0.57,0.047383090740167236,0.047383090740167236,0.46225535880708296,-0.3178294573643411,0.1176470588235293,2014
2014-09-30,3,3229,3229,1073,1677,0.51,0.023454833597464343,0.023454833597464343,-0.21102941176470588,0.4775330396475771,0.04081632653061228,2014
