Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-09-30,3,34241,19640,4900,26347,1.17,0.013377134570422326,0.013991429604006402,-0.057511059819196,0.004192552502191561,-0.05645161290322586,2022
2022-06-30,2,33789,19369,5199,26237,1.24,0.007003635930142457,0.008591960008331597,0.1351528384279476,0.01859616429847038,0.13761467889908247,2022
2022-03-31,1,33554,19204,4580,25758,1.09,-0.01505856107083101,0.006973939489276913,-0.007153696076306092,-0.026493820628141655,-0.009090909090909097,2022
2021-12-31,4,34067,19071,4613,26459,1.1,0.03499924046787179,-0.01629958219425388,-0.2800062431715311,0.10199916701374427,-0.29032258064516125,2021
2021-09-30,3,32915,19387,6407,24010,1.55,-0.02514512498519133,-0.006253524014557384,0.1046551724137931,-0.06207273721629751,0.10714285714285725,2021
2021-06-30,2,33764,19509,5800,25599,1.4,0.02729181245626312,0.00847764280175756,0.10581506196377502,0.020002390723990914,0.10236220472440936,2021
2021-03-31,1,32867,19345,5245,25097,1.27,-0.05260578807794304,-0.02642174131857071,0.1431996512641674,-0.08777987787147426,0.13392857142857134,2021
2020-12-31,4,34692,19870,4588,27512,1.12,0.09983197539866215,0.034410953199021294,0.05301813174202433,0.15281793421328305,0.06666666666666672,2020
2020-09-30,3,31543,19209,4357,23865,1.05,0.03599697835583145,0.027329126109744358,-0.07297872340425532,0.03374339426492246,-0.07079646017699102,2020
2020-06-30,2,30447,18698,4700,23086,1.13,-0.03679215438152483,-0.031893962928445686,0.13089509143407121,-0.07770364747712837,0.1299999999999999,2020
2020-03-31,1,31610,19314,4156,25031,1.0,-0.0910136592379583,0.0088800668616799,-0.18429833169774287,-0.11035683821438726,-0.18699186991869918,2020
2019-12-31,4,34775,19144,5095,28136,1.23,0.05718368091445249,-0.01875961045617632,-0.019060454370427415,0.13846402848587844,-0.016000000000000014,2019
2019-09-30,3,32894,19510,5194,24714,1.25,0.025661812852732998,0.008268733850129198,0.3169371196754564,0.020354238057883656,0.31578947368421056,2019
2019-06-30,2,32071,19350,3944,24221,0.95,-0.0017741533864541832,0.011077437558783572,-0.21621621621621623,-0.008108440149064254,-0.2213114754098361,2019
2019-03-31,1,32128,19138,5032,24419,1.22,-0.06280446894781366,0.007793575566087414,1.595152140278494,-0.2741945071929616,1.6521739130434783,2019
2018-12-31,4,34281,18990,1939,33644,0.46,0.05133866961081976,-0.014837103133430172,-0.6062144597887896,0.3494304508262474,-0.6134453781512605,2018
2018-09-30,3,32607,19276,4924,24932,1.19,0.012545415023445021,0.037906525953047596,0.19514563106796118,-0.02556085359180802,0.18999999999999995,2018
2018-06-30,2,32203,18572,4120,25586,1.0,0.013565403499937052,0.002970243559971918,-0.09350935093509351,0.047619047619047616,-0.09909909909909918,2018
2018-03-31,1,31772,18517,4545,24423,1.11,-0.06429097334707701,0.006522802630863728,-0.7565482886067812,-0.1428721836176037,-0.7565789473684209,2018
2017-12-31,4,33955,18397,18669,28494,4.56,0.07056152851782956,-0.018460225150722938,4.157182320441989,0.1522503942739294,4.123595505617977,2017
2017-09-30,3,31717,18743,3620,24729,0.89,0.038267644362969755,0.03758857395925598,-0.17010545621274645,0.09740836069938759,-0.1682242990654206,2017
2017-06-30,2,30548,18064,4362,22534,1.07,0.024619306366136715,0.016716384307986717,0.2643478260869565,-0.01391563101697882,0.27380952380952395,2017
2017-03-31,1,29814,17767,3450,22852,0.84,-0.07810760667903525,0.06382851326267888,-0.2324805339265851,0.0327653997378768,-0.2293577981651377,2017
2016-12-31,4,32340,16701,4495,22127,1.09,0.045350227882470825,-0.10728030788967287,0.24171270718232044,-0.09304422674919047,0.22471910112359558,2016
2016-09-30,3,30937,18708,3620,24397,0.89,0.01326477138739683,0.021680956801922342,4.156695156695156,-0.060859188544152745,4.235294117647058,2016
2016-06-30,2,30532,18311,702,25978,0.17,-0.050946504615958475,-0.06380694309525027,-0.837122969837587,0.07218622312105329,-0.8396226415094339,2016
2016-03-31,1,32171,19559,4310,24229,1.06,-0.06081041630174578,0.0006139049470506984,-0.20051938415878315,-0.011464708282333742,-0.19696969696969696,2016
2015-12-31,4,34254,19547,5391,24510,1.32,0.03305386332106882,-0.015413287664332847,0.3350668647845468,-0.04343753658822152,0.3333333333333334,2015
2015-09-30,3,33158,19853,4038,25623,0.99,0.028984607745779545,0.0039443742098609355,-0.04561569368943512,0.04999385321476867,-0.04807692307692312,2015
2015-06-30,2,32224,19775,4231,24403,1.04,0.007503751875937969,-0.005681818181818182,0.002844275894761792,0.015775890775890776,0.01960784313725492,2015
2015-03-31,1,31984,19888,4219,24024,1.02,-0.0363943118823813,0.058491670658363935,-2.891080233079337,-0.31997282608695654,-2.619047619047619,2015
2014-12-31,4,33192,18789,-2231,35328,-0.63,0.05084531121382891,-0.028188683148856936,-1.603788903924222,0.4305150631681244,-1.7078651685393258,2014
2014-09-30,3,31586,19334,3695,24696,0.89,0.0032716068989613444,-0.0031965353681171374,-0.1231608922638823,0.0377342633834776,-0.1188118811881188,2014
2014-06-30,2,31483,19396,4214,23798,1.01,0.02157829839704069,-0.011870192062764278,0.06764631365594122,0.00591765998816468,-0.12173913043478253,2014
2014-03-31,1,30818,19629,3947,23658,1.15,-0.007951070336391437,0.027534942155682352,-0.22103808959936846,0.2450268392800758,-0.34659090909090917,2014
2013-12-31,4,31065,19103,5067,19002,1.76,0.025958585158030317,-0.011180702934934521,1.2701612903225807,-0.17921472074640404,1.2564102564102564,2013
2013-09-30,3,30279,19319,2232,23151,0.78,0.01655139998657087,0.03018183757265504,-0.006233303650934996,-0.0034436744005854245,0.0,2013
2013-06-30,2,29786,18753,2246,23231,0.78,0.012440516655336506,0.014333621808740805,0.15061475409836064,0.001422536425553927,0.14705882352941171,2013
