Date,Quarter,Total Revenue,Gross Profit,Net Income,Total Operating Expenses,EPS,Total Revenue Gr,Gross Profit Gr,Net Income Gr,Total Operating Expenses Gr,EPS Gr,Year
2022-06-30,2,18386,17028,2839,14821,0.74,-0.008947822337214317,-0.032060027285129605,-0.1632773356911288,0.05577717623593104,-0.15909090909090912,2022
2022-03-31,1,18552,17592,3393,14038,0.88,-0.1456596822472945,-0.1565017261219793,-0.37970749542961607,0.036856488662382746,-0.3623188405797101,2022
2021-12-31,4,21715,20856,5470,13539,1.38,0.09899286401133661,0.1073590315387066,0.1426780864842281,0.05509663341645885,0.17948717948717946,2021
2021-09-30,3,19759,18834,4787,12832,1.17,-0.0663422010111988,-0.07084361124814997,-0.1664635208079401,-0.01124980736631222,-0.15217391304347824,2021
2021-06-30,2,21163,20270,5743,12978,1.38,0.07046029337379868,0.09378372544787394,0.3493890977443609,-0.08386277001270648,0.3529411764705881,2021
2021-03-31,1,19770,18532,4256,14166,1.02,-0.018371400198609732,-0.021799947215624175,0.4172494172494173,-0.05792378798962559,0.3972602739726028,2021
2020-12-31,4,20140,18945,3003,15037,0.73,-0.029304029304029304,-0.01920687512942638,0.03516028955532575,-0.10022738152225945,0.0428571428571429,2020
2020-09-30,3,20748,19316,2901,16712,0.7,0.026772900480031673,0.05632724488679865,-1.6973557692307693,-0.3573790663692994,-1.693069306930693,2020
2020-06-30,2,20207,18286,-4160,26006,-1.01,-0.04377247775884914,0.03211604673477451,-100.04761904761905,0.2705686925933164,-102.0,2020
2020-03-31,1,21132,17717,42,20468,0.01,-0.1879803258530587,-0.18086827869989366,-0.9845075617853191,-0.02584360573033173,-0.9850746268656716,2020
2019-12-31,4,26024,21629,2711,21011,0.67,-0.03198928730843625,-0.017310313493866424,-0.32846172900668813,0.011700693374422188,-0.2717391304347826,2019
2019-09-30,3,26884,22010,4037,20768,0.92,0.015448536355051936,0.019736842105263157,-0.30967852257181944,0.10215995329830706,-0.2923076923076923,2019
2019-06-30,2,26475,21584,5848,18843,1.3,0.006615718033534846,-0.0011569253551760841,0.061921191211185764,-0.031357631213694545,0.08333333333333341,2019
2019-03-31,1,26301,21609,5507,19453,1.2,0.04133507542463476,0.02998093422306959,-0.03572053931010331,-0.021872485921158487,-0.008264462809917363,2019
2018-12-31,4,25257,20980,5711,19888,1.21,-0.018497648933276337,-0.0437992798869696,0.04731340546488172,0.09666390956713537,0.07079646017699122,2018
2018-09-30,3,25733,21941,5453,18135,1.13,0.02820953370360011,0.018002134273651,0.1379382303839733,0.012675899039535404,0.15306122448979584,2018
2018-06-30,2,25027,21553,4792,17908,0.98,-0.000638901090124985,-0.01737029269627063,0.012465666596239171,-0.023661541816595792,0.020833333333333353,2018
2018-03-31,1,25043,21934,4733,18342,0.96,0.014091921441587366,-0.00526077097505669,-0.17543554006968642,-0.08728105095541401,-0.17241379310344826,2018
2017-12-31,4,24695,22050,5740,20096,1.16,0.010268368515791196,0.00919950569820129,0.3894940692326313,0.13774556983524883,0.3975903614457831,2017
2017-09-30,3,24444,21849,4131,17663,0.83,-0.0005724098454493417,-0.01736001798965595,-0.2420183486238532,0.08235798762179056,-0.23148148148148157,2017
2017-06-30,2,24458,22235,5450,16319,1.08,0.013005301524188204,-0.0008986744551786115,0.04146760940187273,0.0020262802406975314,0.04854368932038839,2017
2017-03-31,1,24144,22255,5233,16286,1.03,0.038987864704363544,0.03118339356871467,0.0740968801313629,0.03891298800714468,0.07291666666666674,2017
2016-12-31,4,23238,21582,4872,15676,0.96,-0.02619117462179944,-0.033410963812253676,-0.07076101468624833,0.004356740133264992,-0.06796116504854374,2016
2016-09-30,3,23863,22328,5243,15608,1.03,0.012216330858960763,0.007490298709502753,0.013531799729364006,0.016609131765778676,0.01980198019801982,2016
2016-06-30,2,23575,22162,5173,15353,1.01,0.0031914893617021275,-0.0014868213561612977,0.017305801376597835,-0.00428043323172709,0.02020202020202022,2016
2016-03-31,1,23500,22195,5085,15419,0.99,0.037940020317123804,0.028212730473455017,-0.022679223524889488,0.06448049706593027,-0.010000000000000009,2016
2015-12-31,4,22641,21586,5203,14485,1.0,-0.009710011809473822,-0.013211428571428572,-0.04409333088370384,0.028034066713981547,-0.04761904761904766,2015
2015-09-30,3,22863,21875,5443,14090,1.05,0.02644338690850319,0.026128154611126747,0.014917024053701287,0.026593806921675775,0.019417475728155355,2015
2015-06-30,2,22274,21318,5363,13725,1.03,0.000853740732419681,0.0018798759281887394,-0.01794543123969969,-0.026043145046835085,-0.009615384615384623,2015
2015-03-31,1,22255,21278,5461,14092,1.04,-0.00850931123585494,-0.007694818821993191,0.014678558156819026,-0.0030420940926777504,0.01960784313725492,2015
2014-12-31,4,22446,21443,5382,14135,1.02,0.009444144630329197,0.010842407957384623,-0.004807692307692308,0.036366302514847126,0.0,2014
2014-09-30,3,22236,21213,5408,13639,1.02,0.0076128330614464385,0.0069780689262318426,-0.0029498525073746312,0.016849325281443377,0.00990099009900991,2014
2014-06-30,2,22068,21066,5424,13413,1.01,0.020627139025067062,0.021381818181818182,-0.03263777421080792,0.010776186887716654,-0.038095238095238126,2014
2014-03-31,1,21622,20625,5607,13270,1.05,-0.0035026269702276708,-0.0019356399709654004,0.04432855280312908,-0.015651657888880646,0.050000000000000044,2014
2013-12-31,4,21698,20665,5369,13481,1.0,0.008927741095508231,0.009131751147573005,0.009779951100244499,0.020901173797803863,0.01010101010101011,2013
2013-09-30,3,21506,20478,5317,13205,0.99,-0.04226230238254286,-0.042099354476564696,0.00853566009104704,-0.05570652173913043,0.01020408163265307,2013
2013-06-30,2,22455,21378,5272,13984,0.98,0.002008032128514056,0.005597629239380968,0.0691543297505577,-0.05321597833446175,0.06521739130434775,2013
2013-03-31,1,22410,21259,4931,14770,0.92,-0.03246697176409637,-0.031392381993803536,0.01523574222771258,-0.07345837776801957,0.010989010989010999,2013
2012-12-31,4,23162,21948,4857,15941,0.91,0.030521445096992346,0.03464856455946825,0.029679881280474878,0.0651476680475745,0.03409090909090912,2012
2012-09-30,3,22476,21213,4717,14966,0.88,-0.005750685658674688,-0.00356991873737611,0.07131501249148307,-0.03532293412401702,0.07317073170731714,2012
2012-06-30,2,22606,21289,4403,15514,0.82,-0.017258618441072904,-0.016038084673691996,0.0947289905519642,-0.05142158361357383,0.09333333333333327,2012
2012-03-31,1,23003,21636,4022,16355,0.75,0.0412837807251822,0.050036398932297985,0.03446502057613169,0.02001995759012099,0.02739726027397263,2012
2011-12-31,4,22091,20605,3888,16034,0.73,0.038892024078254324,0.049775830446301204,0.012763740557436832,0.06016926738957948,0.013888888888888902,2011
2011-09-30,3,21264,19628,3839,15124,0.72,-0.037479630635524175,-0.03718238006475032,0.029774678111587984,-0.055871153005805606,0.0285714285714286,2011
2011-06-30,2,22092,20386,3728,16019,0.7,-0.002618510158013544,0.0028038762359191304,0.044257703081232495,-0.044440467668814126,0.04477611940298495,2011
2011-03-31,1,22150,20329,3570,16764,0.67,-0.053418803418803416,-0.05420117242021029,0.10457920792079207,-0.08066904304908144,0.09836065573770501,2011
2010-12-31,4,23400,21494,3232,18235,0.61,0.021566401816118047,0.029702021653731914,0.02603174603174603,0.028482797518330515,0.016666666666666684,2010
2010-09-30,3,22906,20874,3150,17730,0.6,-0.021821753426997482,-0.024305880153314013,0.0945100764419736,-0.05480328393218893,0.09090909090909079,2010
2010-06-30,2,23417,21394,2878,18758,0.55,-0.004633171809912438,-0.0025177172696754942,0.2133220910623946,-0.03928297055057618,0.2222222222222223,2010
2010-03-31,1,23526,21448,2372,19525,0.45,-0.054725168756027,-0.05498766302432147,5.020304568527918,-0.06695020548599828,6.500000000000001,2010
2009-12-31,4,24888,22696,394,20926,0.06,0.005575757575757576,0.010237692513130954,-0.8505877891543421,0.04218337566611883,-0.8928571428571428,2009
2009-09-30,3,24750,22466,2637,20079,0.56,-0.011739338763775755,-0.0018216554849602347,0.024077669902912623,-0.01186023622047244,-0.01754385964912263,2009
2009-06-30,2,25044,22507,2575,20320,0.57,0.045503882441345914,0.07089498977018605,0.08011744966442953,0.05214104489204163,0.017857142857142672,2009
2009-03-31,1,23954,21017,2384,19313,0.56,0.0,0.0,0.0,0.0,0.0,2009
