symbol,company,actual,predicted,minimum,maximum,min,max,suggest
HON,Honeywell International Inc. Common Stock,0.1379139308704573,0.5275477700775493,0.1379139308704573,0.1916498652356551,0.0,0.0537359343651978,buy
BAC,Bank of America Corporation Common Stock,0.0729269749536201,0.1415156553162071,0.0729269749536201,0.0779289399285244,0.0,0.005001964974904294,buy
AMAT,Applied Materials Inc. Common Stock,0.0794592675601867,0.3748707425907329,0.0794592675601867,0.1029324469949884,0.0,0.02347317943480169,buy
CSCO,Cisco Systems Inc. Common Stock (DE),0.0871540822529494,0.3347895487347145,0.0871540822529494,0.1087365240674486,0.0,0.021582441814499198,buy
NVDA,NVIDIA Corporation Common Stock,0.0976829362565687,0.5012390504845481,0.0976829362565687,0.137103482438649,0.0,0.03942054618208031,buy
AMGN,Amgen Inc. Common Stock,0.1515436977404496,0.2415794346148343,0.1515436977404496,0.16518804623518,0.0,0.013644348494730396,buy
NKE,Nike Inc. Common Stock,0.1830170809928596,0.4254492065058178,0.1830170809928596,0.2273863009431357,0.0,0.044369219950276095,buy
TM,Toyota Motor Corporation Common Stock,0.0789276553200145,0.1199573487216534,0.0783979133574782,0.0826877724364132,0.0005297419625363009,0.0037601171163987035,buy
PFE,Pfizer Inc. Common Stock,0.0691328679349059,0.1819085405405374,0.0685379765492631,0.0771148188544523,0.0005948913856428095,0.007981950919546399,buy
SHEL,Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,0.0197967897308066,0.3213149756757339,0.0191257762790557,0.0271757672891124,0.0006710134517509021,0.007378977558305799,buy
MCD,McDonald's Corporation Common Stock,0.0797189106595696,0.2226551537256809,0.0790053460709286,0.0915272693560872,0.0007135645886409969,0.011808358696517599,buy
ABT,Abbott Laboratories Common Stock,0.0670163481933009,0.1267686389925335,0.066061071209168,0.0735542331186004,0.0009552769841329051,0.0065378849252994975,buy
WMT,Walmart Inc. Common Stock,0.0503869927703542,0.2063936630005595,0.049053906271515,0.0586704028831341,0.0013330864988392033,0.008283410112779895,buy
PEP,PepsiCo Inc. Common Stock,0.177329531749892,0.2733487775734292,0.1758916387726197,0.1944558535264466,0.001437892977272287,0.0171263217765546,buy
V,Visa Inc.,0.0846224906323952,0.105812232617984,0.0824501114206354,0.0886101237770442,0.002172379211759806,0.003987633144649005,buy
AMT,American Tower Corporation (REIT) Common Stock,0.0733124836052989,0.2620444920805254,0.0709116198301962,0.0930707259720738,0.0024008637751027073,0.019758242366774897,buy
NEE,NextEra Energy Inc. Common Stock,0.0828622118321269,0.1069222450207994,0.0804398165726607,0.0889114473005381,0.0024223952594662063,0.006049235468411199,buy
TXN,Texas Instruments Incorporated Common Stock,0.1034793343001199,0.2614890664342142,0.100626714941868,0.1209298281602943,0.002852619358251887,0.0174504938601744,buy
IBM,International Business Machines Corporation Common Stock,0.0822058181284143,0.5134881671995412,0.079332355634231,0.1267189355867135,0.0028734624941833126,0.04451311745829918,buy
TD,Toronto Dominion Bank (The) Common Stock,0.0751659949250919,0.2865275650383487,0.0722156285663769,0.0954619903915267,0.002950366358715012,0.02029599546643479,buy
UPS,United Parcel Service Inc. Common Stock,0.0349177943789243,0.1109601043013207,0.0318535786041513,0.0400616378190171,0.003064215774772998,0.005143843440092805,buy
ACN,Accenture plc Class A Ordinary Shares (Ireland),0.0796353381164709,0.1200251948620586,0.076453721376678,0.0854863001600243,0.0031816167397929057,0.005850962043553398,buy
PM,Philip Morris International Inc Common Stock,0.1571163253774321,0.1913143727693911,0.1536705228425598,0.165249502545636,0.003445802534872283,0.008133177168203914,buy
MRK,Merck & Company Inc. Common Stock (new),0.088886006574318,0.1030767428953267,0.0852907561666333,0.0937551306142363,0.0035952504076846997,0.004869124039918307,buy
JPM,JP Morgan Chase & Co. Common Stock,0.0709128456357218,0.1585295510139293,0.0672792994957511,0.0815023048920131,0.003633546139970703,0.010589459256291303,buy
DIS,Walt Disney Company (The) Common Stock,0.1178825725539885,0.140842727567038,0.1140882797459062,0.1274921868536565,0.0037942928080823,0.009609614299667987,buy
BLK,BlackRock Inc. Common Stock,0.1722853793661068,0.1673201245502157,0.1684810836281446,0.1994440603758936,0.0038042957379622044,0.0271586810097868,buy
VZ,Verizon Communications Inc. Common Stock,0.1045606709716133,0.1063490143654857,0.1006867855907843,0.108508964320413,0.003873885380829001,0.003948293348799703,buy
ANTM,Anthem Inc. Common Stock,0.1833993474807325,0.2859627832796795,0.179247115314947,0.2037040022143848,0.004152232165785502,0.02030465473365231,buy
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),0.1144393975362084,0.1697791109460183,0.1099520420195312,0.1215362338677679,0.0044873555166771995,0.007096836331559511,buy
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,0.1090102111746855,0.1455635684628873,0.1045164143227374,0.1136693253984474,0.004493796851948104,0.004659114223761904,buy
C,Citigroup Inc. Common Stock,0.0895798239046685,0.1093871021421468,0.0850163356341962,0.0962359913163469,0.004563488270472302,0.006656167411678404,buy
RY,Royal Bank Of Canada Common Stock,0.0588277272315529,-0.0119868297976386,0.0541307294205599,0.0625910048227438,0.004696997810992996,0.0037632775911908972,buy
COST,Costco Wholesale Corporation Common Stock,0.1407986846798558,0.183768838816543,0.1355808244924555,0.1523974629012153,0.005217860187400281,0.011598778221359518,buy
CRM,Salesforce Inc. Common Stock,0.1084705143075684,0.2796191211402728,0.1025690884239782,0.1329734420267836,0.005901425883590203,0.024502927719215195,buy
INTU,Intuit Inc. Common Stock,0.1475505014521607,0.2374037159531297,0.1405711956228974,0.1685149936631174,0.006979305829263288,0.020964492210956698,buy
SONY,Sony Group Corporation American Depositary Shares ,0.2289260834182796,0.3802657067801143,0.2218630005356131,0.2754884335533274,0.0070630828826665215,0.04656235013504781,buy
GOOG,Alphabet Inc. Class C Capital Stock,0.1961447370555271,0.3685670722437366,0.1879426613383919,0.2301236441736515,0.008202075717135188,0.0339789071181244,buy
PG,Procter & Gamble Company (The) Common Stock,0.1367170811749998,0.1009353253227198,0.1284419570725767,0.1433841891390844,0.00827512410242312,0.006667107964084595,buy
WFC,Wells Fargo & Company Common Stock,0.1050682105341601,0.0759296427204106,0.0966461041133431,0.1114412752242937,0.008422106420817005,0.006373064690133601,buy
CVX,Chevron Corporation Common Stock,0.0857419200866368,0.1286375670902373,0.0771449319815203,0.1060504434882028,0.008596988105116499,0.02030852340156601,buy
MSFT,Microsoft Corporation Common Stock,0.1489431635186485,0.1540629621588999,0.1398964830871249,0.1586918090024902,0.009046680431523596,0.00974864548384169,buy
CHTR,Charter Communications Inc. Class A Common Stock New,0.1195575375830029,0.0820583572238738,0.1096406598984349,0.130016539971371,0.009916877684568004,0.010459002388368097,buy
JNJ,Johnson & Johnson Common Stock,0.2157271588098865,0.2510021969671498,0.2050939860945198,0.2241661678627334,0.010633172715366707,0.008439009052846919,buy
DE,Deere & Company Common Stock,0.274603771057993,0.3090362974890998,0.2637117356411588,0.2980799267453259,0.0108920354168342,0.02347615568733291,buy
CMCSA,Comcast Corporation Class A Common Stock,0.1494145743068983,0.2516400152910284,0.1384472717184285,0.1757906222356822,0.010967302588469813,0.026376047928783897,buy
QCOM,QUALCOMM Incorporated Common Stock,0.2610361478215692,0.4252748184996398,0.2500083052136955,0.3092983849912094,0.011027842607873706,0.048262237169640176,buy
ADBE,Adobe Inc. Common Stock,0.2388958810807738,0.3913347495409595,0.2257238671117322,0.2893117164509319,0.013172013969041607,0.05041583537015809,buy
RTX,Raytheon Technologies Corporation Common Stock,0.144730496470931,0.1244515136331047,0.1304991707966054,0.1591268777521133,0.014231325674325612,0.014396381281182286,buy
CAT,Caterpillar Inc. Common Stock,0.1940511272048897,0.263881535168469,0.1787569807439103,0.2230019948705845,0.015294146460979402,0.028950867665694796,buy
LIN,Linde plc Ordinary Share,0.2482684772697351,0.2671589053867639,0.232250681535225,0.2683466611319101,0.01601779573451012,0.02007818386217497,buy
UNH,UnitedHealth Group Incorporated Common Stock (DE),0.1608773987850504,0.1515746484499875,0.1431505979349288,0.1706425669491655,0.0177268008501216,0.009765168164115101,buy
AZN,AstraZeneca PLC American Depositary Shares,0.144586446174429,0.1499172018131692,0.1261383716413174,0.1628288644116054,0.01844807453311162,0.0182424182371764,buy
TMUS,T-Mobile US Inc. Common Stock,0.1772839524179095,0.2229814906664387,0.1585207549765924,0.2058753704737048,0.018763197441317103,0.028591418055795292,buy
ABBV,AbbVie Inc. Common Stock,0.2084237795980949,0.1464422399665325,0.1870598717360885,0.2214048282366159,0.021363907862006398,0.012981048638520981,buy
MDT,Medtronic plc. Ordinary Shares,0.1743888248772139,0.1602225466193172,0.1519012491263111,0.1878411053871597,0.022487575750902822,0.013452280509945791,buy
TMO,Thermo Fisher Scientific Inc Common Stock,0.2549586780601043,0.2831365922125975,0.2310655475250956,0.2881583775430595,0.023893130535008716,0.0331996994829552,buy
GS,Goldman Sachs Group Inc. (The) Common Stock,0.2129266019202241,0.1715174899923191,0.1886202867301006,0.2378680431057102,0.024306315190123523,0.02494144118548608,buy
GOOGL,Alphabet Inc. Class A Common Stock,0.198167545071556,0.1832371479691746,0.1735626002872562,0.2090199130469811,0.02460494478429981,0.010852367975425076,buy
CVS,CVS Health Corporation Common Stock,0.213717670953856,0.1039466160745483,0.187792896349848,0.2235319223971376,0.025924774604007994,0.009814251443281602,buy
SPGI,S&P Global Inc. Common Stock,0.2393879841392476,0.2395718783573099,0.2104704443930771,0.2665449576892854,0.028917539746170506,0.027156973550037766,buy
INTC,Intel Corporation Common Stock,0.2771939903563908,0.1907469274357456,0.2429836281626162,0.2990448808534172,0.0342103621937746,0.021850890497026376,buy
