Symbol,Company,Date,Open,High,Low,Close,Adj Close,Volume,Spread High-Low,Spread Close-Open
AAPL,Apple Inc. Common Stock,2022-08-15,171.52000427246094,173.38999938964844,171.34500122070312,173.0500030517578,173.0500030517578,43627966.0,2.0449981689453125,1.529998779296875
MSFT,Microsoft Corporation Common Stock,2022-08-15,291.0,294.17999267578125,290.1300048828125,293.3999938964844,293.3999938964844,13649181.0,4.04998779296875,2.399993896484375
GOOG,Alphabet Inc. Class C Capital Stock,2022-08-15,122.20999908447266,123.26000213623048,121.56999969482422,122.88999938964844,122.88999938964844,11720931.0,1.6900024414062642,0.6800003051757812
GOOGL,Alphabet Inc. Class A Common Stock,2022-08-15,121.12999725341795,122.3000030517578,120.61000061035156,122.13500213623048,122.13500213623048,14804997.0,1.6900024414062358,1.0050048828125284
AMZN,Amazon.com Inc. Common Stock,2022-08-15,142.8000030517578,143.752197265625,141.49000549316406,143.3699951171875,143.3699951171875,32152463.0,2.262191772460937,0.5699920654296875
TSLA,Tesla Inc. Common Stock,2022-08-15,905.3599853515624,939.4000244140624,903.6900024414062,932.8862915039062,932.8862915039062,27359008.0,35.710021972656136,27.526306152343864
UNH,UnitedHealth Group Incorporated Common Stock (DE),2022-08-15,541.6699829101562,547.1649780273438,538.5599975585938,544.9500122070312,544.9500122070312,963648.0,8.60498046875,3.280029296875
NVDA,NVIDIA Corporation Common Stock,2022-08-15,187.009994506836,190.54840087890625,186.13999938964844,189.9199981689453,189.9199981689453,39211043.0,4.4084014892578125,2.9100036621093466
JNJ,Johnson & Johnson Common Stock,2022-08-15,166.0,166.75,165.125,166.3699951171875,166.3699951171875,6287790.0,1.625,0.3699951171875
V,Visa Inc.,2022-08-15,210.3699951171875,216.63999938964844,210.3699951171875,216.509994506836,216.509994506836,3934740.0,6.2700042724609375,6.139999389648466
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,2022-08-15,90.01000213623047,91.94000244140624,90.0,91.73500061035156,91.73500061035156,11200215.0,1.940002441406236,1.7249984741210938
META,Meta Platforms Inc. Class A Common Stock,2022-08-15,178.9600067138672,181.44000244140625,178.21839904785156,181.0399932861328,181.0399932861328,13532640.0,3.2216033935546875,2.079986572265625
XOM,Exxon Mobil Corporation Common Stock,2022-08-15,90.52999877929688,92.7300033569336,89.66999816894531,92.11000061035156,92.11000061035156,16310850.0,3.060005187988281,1.5800018310546875
WMT,Walmart Inc. Common Stock,2022-08-15,131.6300048828125,133.57000732421875,131.35670471191406,132.88999938964844,132.88999938964844,7042265.0,2.2133026123046875,1.2599945068359375
PG,Procter & Gamble Company (The) Common Stock,2022-08-15,146.8699951171875,148.77000427246094,146.8699951171875,148.55999755859375,148.55999755859375,4266001.0,1.9000091552734373,1.69000244140625
MA,Mastercard Incorporated Common Stock,2022-08-15,352.3299865722656,361.885009765625,350.82000732421875,360.4100036621094,360.4100036621094,1588915.0,11.06500244140625,8.08001708984375
JPM,JP Morgan Chase & Co. Common Stock,2022-08-15,121.13999938964844,122.72000122070312,120.5999984741211,122.33000183105467,122.33000183105467,6583158.0,2.1200027465820312,1.1900024414062358
CVX,Chevron Corporation Common Stock,2022-08-15,155.17999267578125,157.7899932861328,153.44000244140625,156.58999633789062,156.58999633789062,6864244.0,4.3499908447265625,1.410003662109375
BAC,Bank of America Corporation Common Stock,2022-08-15,35.84000015258789,36.29999923706055,35.66999816894531,36.19499969482422,36.19499969482422,18545727.0,0.6300010681152344,0.3549995422363281
PFE,Pfizer Inc. Common Stock,2022-08-15,49.970001220703125,50.06499862670898,49.3849983215332,49.85499954223633,49.85499954223633,11609621.0,0.6800003051757741,-0.1150016784667968
NVO,Novo Nordisk A/S Common Stock,2022-08-15,106.6999969482422,107.13999938964844,105.87000274658205,106.4499969482422,106.4499969482422,1028942.0,1.269996643066392,-0.25
ABBV,AbbVie Inc. Common Stock,2022-08-15,143.11000061035156,143.25,140.4199981689453,142.6699981689453,142.6699981689453,3512637.0,2.8300018310546875,-0.44000244140625
PEP,PepsiCo Inc. Common Stock,2022-08-15,177.77000427246094,179.35000610351562,176.8000030517578,179.1199951171875,179.1199951171875,1940066.0,2.5500030517578125,1.3499908447265625
COST,Costco Wholesale Corporation Common Stock,2022-08-15,536.4000244140625,546.8377075195312,535.6799926757812,546.5,546.5,1427432.0,11.15771484375,10.0999755859375
